TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,1353605219.00,1393099339.00,1512763927.00,1477545960.00,1494085317.00,1477908133.00,1623003348.00,993248350.00,1512692512.00,1598513978.00,1438854953.00,1264156363.00,17139477399.00,1266850840.00,1356388851.00,1587290708.00,1489294073.00,1394288544.00,1590777974.00,1611166157.00,1021622862.00,1546964590.00,1558249202.00,1504514770.00,1272498373.00,17199906944.00,1220950032.00,1412910690.00,1537131180.00,1478617391.00,1427173443.00,1531630002.00,1472813491.00,1049084323.00,1530146398.00,1469775551.00,1585550732.00,1296018265.00,17011801498.00,1367983317.00,1445853270.00,1662024883.00,1415925205.00,1647148699.00,1565741714.00,1642336224.00,1157374183.00,1617582029.00,1715260547.00,1704956932.00,1372996763.00,18315183766.00,1542612137.00,1592587941.00,1747992431.00,1581753328.00,1679210848.00,1777380696.00,1824600545.00,1275431036.00,1682856552.00,1924503803.00,1788700130.00,1420806230.00,19838435677.00,1636178684.00,1623347528.00,1827509119.00,1707751267.00,1838445261.00,1718686443.00,1920266180.00,1302355526.00,1820683662.00,1957301031.00,1690637353.00,1471479367.00,20514641421.00,1582294068.00,1633707435.00,1557435422.00,1082535206.00,1284856718.00,1492946976.00,1704278882.00,1217384418.00,1723991977.00,1720256746.00,1718680667.00,1402866831.00,18121235346.00,1420668308.00,1719434140.00,2081297574.00,1950201283.00,1949724824.00,2022381121.00,2079744357.00,1506135531.00,2133552846.00,2079987910.00,2217286351.00,1907090207.00,23067504452.00,1881194457.00,2177824891.00,2590233595.00,2241582200.00,2550535012.00,2434614419.00,2352052531.00,1833209625.00,2394057961.00,2357269073.00,2369293647.00,1964336542.00,27146203953.00,2076836940.00,2218377200.00,2535062718.00,2074687363.00,2262009944.00,2214891479.00,2144451058.00,1596655733.00,2165943704.00,2260827384.00,2227536086.00,1781383427.00,25558663036.00,1942565987.00,2168497890.00,2145806144.00,2107289733.00,2023050080.00,2086598079.00,2259600315.00,1493941213.00,2090140835.00,2241585543.00,2033421153.00,#VALUE!,#VALUE!
Belgium,2239009718.00,2264795255.00,2510881916.00,2143528502.00,2228237046.00,2303432920.00,2280085204.00,1695764886.00,2693751691.00,2579506248.00,2187455116.00,2024575860.00,27151024362.00,2451930266.00,2342308176.00,2633779523.00,2514018258.00,2576199234.00,3043859627.00,2760392322.00,1822669802.00,2992582543.00,2743858699.00,2522727961.00,2320451423.00,30724777834.00,2506672053.00,2873744642.00,2893892686.00,2506002922.00,2764626550.00,2963923873.00,2594726775.00,2087464705.00,2679628722.00,2827324132.00,2872601920.00,2391073821.00,31961682801.00,2412823002.00,2741454163.00,3094582123.00,2363061128.00,2744815053.00,2921830605.00,2864171308.00,2087030486.00,2618063113.00,2735498639.00,2867163058.00,2285293649.00,31735786327.00,2852609054.00,2695795166.00,3227858253.00,2480156937.00,2832137121.00,3045470420.00,2923002611.00,2052461043.00,2850281017.00,3298461637.00,2959819380.00,2321041987.00,33539094626.00,2621070278.00,2804591526.00,3041699823.00,2757015652.00,2966630289.00,2845326365.00,2930824135.00,2111532547.00,2860872688.00,3088364330.00,3102634842.00,2439029495.00,33569591970.00,3159548760.00,3236971241.00,2857814946.00,2256671470.00,2567880916.00,3005861145.00,2967092461.00,2205029173.00,3013264001.00,2915307158.00,2874917589.00,2579388597.00,33639747457.00,2728214592.00,2786700499.00,3562860322.00,3349111034.00,3389746884.00,3384456631.00,3247802143.00,2718316221.00,3628531578.00,3795419858.00,3841834786.00,3328683483.00,39761678031.00,3585443002.00,3700267549.00,4160974628.00,3910958318.00,4123900214.00,4136679705.00,5487469435.00,3270862890.00,3825055782.00,4252608680.00,4231776729.00,3577061950.00,48263058882.00,3863597748.00,3779055898.00,4169495826.00,3184452598.00,3611508975.00,3956362210.00,3494107845.00,2674370957.00,3733900398.00,3712366075.00,4463842341.00,3191807172.00,43834868043.00,3493844172.00,3894718596.00,3754727544.00,3738659499.00,3440377336.00,3255777050.00,3609626899.00,2124491214.00,3528154783.00,3955624886.00,3868796688.00,#VALUE!,#VALUE!
Bulgaria,310851635.00,316080908.00,326283306.00,324783716.00,326002710.00,339470769.00,361888632.00,216384391.00,310077566.00,359017141.00,353477333.00,277879411.00,3822197517.00,304632349.00,300709250.00,382678002.00,340707343.00,362863922.00,368566942.00,389874635.00,263013038.00,345875425.00,393037861.00,370135815.00,310587363.00,4132681943.00,321315758.00,352450798.00,408415790.00,374259744.00,362878832.00,363122739.00,369667158.00,260828085.00,356558255.00,377004343.00,367522649.00,327063224.00,4241087374.00,299858536.00,347779739.00,373368060.00,376846795.00,406621296.00,418320778.00,407736710.00,263031243.00,373678414.00,414443639.00,388207951.00,335908405.00,4405801565.00,396899244.00,342348424.00,419861998.00,382644132.00,420530186.00,426609160.00,523226863.00,312501448.00,400569099.00,465162615.00,410409598.00,365799037.00,4866561803.00,359383998.00,383670092.00,411819823.00,396752704.00,416286596.00,409062848.00,435814892.00,300257931.00,375246557.00,422631521.00,422844179.00,361850058.00,4695621198.00,349709978.00,373068325.00,308748893.00,247288238.00,288178937.00,365881623.00,406231744.00,270882024.00,373329202.00,401030338.00,376399169.00,340951939.00,4101700409.00,359479700.00,382785849.00,444307496.00,440929177.00,401111247.00,448254381.00,469215614.00,336199984.00,436296154.00,475460429.00,524023938.00,490657217.00,5208721186.00,464155331.00,512969451.00,631337172.00,611112749.00,633631620.00,606810547.00,629717634.00,416236407.00,587435595.00,621915363.00,604752281.00,540285819.00,6860359969.00,551037071.00,550800527.00,636509987.00,577125086.00,619147982.00,588589527.00,559809083.00,405335042.00,505384918.00,519345880.00,527684971.00,467843753.00,6508613826.00,449355265.00,523189751.00,524758625.00,506568268.00,506287197.00,519258152.00,567489150.00,374551947.00,447362855.00,511484806.00,499873019.00,#VALUE!,#VALUE!
Cyprus,26543916.00,27992800.00,35476569.00,35506728.00,31908232.00,31124651.00,36379562.00,26803998.00,38147592.00,36891513.00,33461311.00,33171863.00,393408735.00,25773439.00,52380969.00,43096676.00,48703935.00,31847715.00,47222258.00,46541203.00,36946426.00,26282389.00,36651977.00,37282657.00,32797449.00,465527093.00,25824632.00,34988103.00,41214363.00,33991204.00,43470219.00,30048986.00,38307813.00,31304641.00,33906170.00,34570802.00,37628934.00,36443467.00,421699334.00,31276275.00,41376970.00,63788079.00,55254118.00,64042943.00,40965361.00,66895586.00,40931114.00,46166269.00,45283950.00,57566747.00,102824835.00,656372247.00,53791866.00,74763754.00,64384454.00,90112108.00,79116030.00,46414070.00,78432939.00,53761018.00,37012867.00,90476358.00,62561039.00,54209300.00,785035803.00,42345252.00,70083363.00,64005038.00,84157130.00,54697962.00,93902695.00,92208464.00,68489261.00,78168745.00,79166693.00,67419931.00,83241332.00,877885866.00,61611583.00,71499579.00,46589850.00,37078606.00,37750219.00,51761812.00,66796659.00,48775603.00,52238289.00,61033316.00,59182289.00,66042421.00,660360226.00,67197848.00,57194858.00,79402848.00,63925359.00,77652136.00,58780472.00,96439089.00,138018905.00,66890998.00,82509864.00,83081472.00,72646440.00,943740289.00,87944954.00,71091444.00,99937490.00,117849050.00,163098905.00,103734526.00,125090121.00,132071047.00,80925654.00,111762480.00,79290664.00,91865563.00,1264661898.00,86455286.00,78414837.00,104636710.00,116888492.00,74126542.00,81686569.00,141992629.00,69060426.00,83320974.00,79211362.00,80892017.00,77781449.00,1074467293.00,55918238.00,91485083.00,70377889.00,119759061.00,102393050.00,73776761.00,69998572.00,59823566.00,67120859.00,77956896.00,97444660.00,#VALUE!,#VALUE!
Czechia,694115443.00,757115535.00,845135642.00,791708700.00,809453263.00,827279009.00,858606271.00,550847289.00,872238064.00,863362693.00,800518851.00,704564045.00,9374944807.00,734897095.00,821176177.00,939917902.00,878121251.00,875821914.00,952057534.00,936155619.00,600082805.00,929083304.00,955016805.00,927042106.00,784637811.00,10334010323.00,824099767.00,992850403.00,1015185181.00,1011841791.00,1057535035.00,1030110690.00,921991606.00,762532868.00,1072692569.00,1019019305.00,1032475365.00,849369407.00,11589703987.00,934176032.00,945983240.00,1152404941.00,953299242.00,1127462902.00,1153885872.00,999446166.00,823604763.00,1094870733.00,1156712320.00,1122537891.00,924071923.00,12388456025.00,1066094958.00,1041266130.00,1134507461.00,1027754091.00,1162343372.00,1160313981.00,1088525423.00,850112575.00,1083586248.00,1259678841.00,1154958221.00,899304023.00,12928445323.00,1042088569.00,1022442978.00,1157155431.00,1124895619.00,1187734776.00,1147109258.00,1172115718.00,829348038.00,1160238576.00,1215855048.00,1139613334.00,881679545.00,13080276890.00,1070781675.00,1079180342.00,1089434187.00,774005599.00,869904308.00,988447111.00,1057562949.00,772481308.00,1115528946.00,1178414736.00,1224304383.00,1072667929.00,12292713474.00,1038741370.00,1111506957.00,1309994153.00,1252015013.00,1305006483.00,1335058773.00,1267673143.00,934506473.00,1244794438.00,1272267536.00,1422039560.00,1208462778.00,14702066677.00,1308185582.00,1398282230.00,1599649897.00,1428506293.00,1648927581.00,1648817109.00,1448271423.00,1188462365.00,1638562361.00,1592104113.00,1732737623.00,1360957863.00,17993464441.00,1499952993.00,1517402725.00,1772498167.00,1413260366.00,1625015391.00,1657883786.00,1445334161.00,1114234712.00,1499398877.00,1646281226.00,1532438790.00,1216124135.00,17939825331.00,1455170517.00,1574330789.00,1609222344.00,1463060931.00,1542846743.00,1451109855.00,1509227688.00,1148759505.00,1528537428.00,1588403459.00,1527518598.00,1235831568.00,17634019422.00
Germany,8606495525.00,8857558320.00,8848225303.00,8970995138.00,8641840333.00,8989377912.00,9454877000.00,6611368864.00,9158192844.00,9381842466.00,8599945581.00,7538601354.00,103659320640.00,8067689580.00,8731256872.00,9687217115.00,8979871101.00,8992999475.00,9688699366.00,10077097798.00,6722372888.00,9471517804.00,9679492975.00,9562103442.00,7785268085.00,107445586501.00,8652901573.00,9443083454.00,9896072681.00,9622917018.00,9471689685.00,10007620547.00,9887261140.00,7696157956.00,9940060331.00,9846317142.00,10166182528.00,8658013130.00,113288277185.00,9276326778.00,9796697604.00,10854548289.00,9668569103.00,10659916514.00,10406662805.00,10453404466.00,8211695525.00,10386795627.00,10553738329.00,10990327658.00,9679375492.00,120938058190.00,10411843597.00,10817618920.00,11194284132.00,10794302978.00,11179011535.00,11845620044.00,11596602002.00,8845963143.00,10930233759.00,12448354902.00,11149812140.00,8900909462.00,130114556614.00,10313385288.00,10534460643.00,11446583998.00,10419190230.00,10918878766.00,10926680328.00,11106252085.00,8307654419.00,10846835046.00,11133081468.00,10707959305.00,9262334636.00,125923296212.00,10048964870.00,10860575987.00,9924146104.00,6575321411.00,8476357734.00,9243751236.00,10201176390.00,8099662891.00,10638278319.00,11124963050.00,11302293339.00,9227805572.00,115723296903.00,10006448498.00,11277927080.00,13040615934.00,11556531648.00,11880934817.00,12262484290.00,12520803977.00,9355327101.00,12191877290.00,13661226054.00,12881386028.00,11650588959.00,142286151676.00,11810914692.00,13227728390.00,15334631216.00,13647941659.00,15509974994.00,14067376022.00,13772275102.00,11037245363.00,14608191486.00,14145506370.00,14526722751.00,12595927267.00,164284435312.00,13470972281.00,13853695878.00,15774411587.00,11835088451.00,13793206727.00,14256468713.00,13390772788.00,10146105568.00,13210514137.00,13335329783.00,14063171108.00,11059149418.00,158188886439.00,13011377092.00,13063840663.00,13359575349.00,12869303608.00,12670077055.00,12616572783.00,13477703621.00,9885109955.00,12774336209.00,13175324388.00,12261937133.00,#VALUE!,#VALUE!
Denmark,389338406.00,375183197.00,409728648.00,404837274.00,391814464.00,380530748.00,428825362.00,338867671.00,424072535.00,457186433.00,395763372.00,385570181.00,4781718291.00,375085050.00,392855377.00,464263047.00,402653584.00,409215104.00,406021978.00,433462838.00,380616968.00,427524289.00,434805700.00,413857102.00,379180557.00,4919541595.00,374397861.00,431280907.00,480291171.00,418687495.00,424327400.00,464440167.00,416197604.00,365440318.00,420041470.00,466967525.00,420650561.00,421123372.00,5103845852.00,400753521.00,394570446.00,488878228.00,378424606.00,455675569.00,462230450.00,434880475.00,390781222.00,473257654.00,489423193.00,498335978.00,429758201.00,5296969544.00,433828910.00,415694787.00,444742784.00,441406586.00,487888135.00,457930598.00,444502545.00,379074242.00,453066165.00,495174623.00,459722792.00,399659641.00,5312691809.00,448338798.00,428241751.00,464464468.00,470937083.00,484965175.00,431996828.00,449991293.00,416291145.00,459543777.00,477238855.00,502736003.00,423906464.00,5458651637.00,437133803.00,471646832.00,448713785.00,324521495.00,386092637.00,437860741.00,460018949.00,358523134.00,476350516.00,486069052.00,489418172.00,427636394.00,5203985512.00,421426731.00,506334697.00,592656897.00,512213406.00,534503887.00,572676687.00,516998441.00,430937498.00,557488830.00,550514462.00,564028934.00,520515722.00,6280296192.00,499619445.00,523382636.00,634142903.00,726757485.00,627562937.00,644660021.00,552230082.00,514757770.00,604927307.00,590700527.00,610049317.00,559237487.00,7088027915.00,627909891.00,541209664.00,695520109.00,521370351.00,615327980.00,649589620.00,556431195.00,492058066.00,562248924.00,568652472.00,597448544.00,569289981.00,6997056798.00,580958358.00,575977332.00,607303994.00,614100475.00,611715948.00,607438887.00,573468652.00,482445114.00,583927827.00,692052573.00,596294710.00,#VALUE!,#VALUE!
Estonia,32677537.00,36517729.00,43196052.00,47353996.00,41121464.00,43430488.00,40749770.00,53776310.00,40657988.00,48249721.00,38907563.00,40117313.00,506755931.00,30109486.00,35941361.00,41563274.00,39969847.00,35419824.00,36982556.00,41381262.00,32329375.00,35983924.00,37424615.00,39129660.00,36615419.00,442850603.00,26765846.00,36900207.00,46091602.00,37998880.00,43565353.00,38553254.00,39919734.00,32706043.00,41272052.00,39852114.00,40817708.00,42805996.00,467248789.00,32495350.00,38759649.00,47001846.00,40931311.00,43396568.00,46186327.00,42652903.00,39145987.00,45705316.00,47577218.00,47919833.00,40646768.00,512419076.00,45047263.00,43735886.00,44536710.00,44226724.00,49105534.00,45988398.00,46222939.00,43821548.00,48393260.00,52060550.00,56731265.00,40731563.00,560601640.00,38631176.00,44181385.00,48817871.00,47899606.00,50878938.00,45621760.00,53498326.00,40420677.00,46718299.00,52835433.00,50943005.00,39808982.00,560255458.00,41787960.00,45618006.00,46117896.00,34102002.00,38622589.00,46770176.00,48548373.00,37234434.00,47898400.00,55457074.00,53698989.00,42668921.00,538524820.00,39150959.00,49334015.00,59398575.00,59616222.00,60058766.00,62080571.00,65954994.00,51045053.00,63417807.00,64450481.00,70478689.00,64559842.00,709545974.00,56649840.00,66295088.00,77666376.00,75858842.00,81881498.00,84058114.00,76586481.00,63846966.00,75314386.00,79100206.00,79064769.00,78493455.00,894816021.00,67933990.00,73947260.00,93111466.00,87573004.00,80200774.00,78183432.00,73401859.00,59849336.00,69650998.00,73781468.00,74259644.00,53379125.00,885272356.00,57746627.00,58957129.00,64782403.00,69057258.00,78025713.00,69177625.00,73941870.00,50424097.00,70033013.00,78558367.00,77951155.00,62159062.00,810814319.00
Spain,2672466716.00,2771338398.00,3054540967.00,2745986156.00,3040949877.00,3147844444.00,3176790576.00,1901939457.00,3211671558.00,3277338500.00,2874388926.00,3042466557.00,34917722132.00,2674652491.00,2918008658.00,3522886315.00,3087851308.00,3233571605.00,3459900456.00,3366168838.00,2044656791.00,3453072126.00,3372202556.00,3393885307.00,3278057518.00,37804913969.00,2795775106.00,3130855944.00,3553765514.00,3424916748.00,3437760070.00,3822736858.00,3452163313.00,2396454682.00,3753145692.00,3442557617.00,3653148676.00,3630979840.00,40494260060.00,3371325014.00,3701948911.00,4580462491.00,3222919430.00,4041052175.00,4210103937.00,3602126810.00,2459220313.00,4087090575.00,3962365869.00,4092515152.00,3748243532.00,45079374209.00,3655871370.00,3696918256.00,4362203101.00,3761064110.00,4190331591.00,4370389032.00,3928757556.00,2824879596.00,4020336933.00,4353890700.00,4275498279.00,3814370772.00,47254511296.00,3725636847.00,3670815175.00,4818212443.00,3777189646.00,4317760141.00,4391000796.00,4204146139.00,2694864123.00,4332486815.00,4273339040.00,3962713945.00,4061050760.00,48229215870.00,3628402602.00,3825180888.00,3642848028.00,2043176014.00,2630954363.00,3446316462.00,3626506276.00,2431314848.00,4181150058.00,4128679756.00,3967952520.00,4023689835.00,41576171650.00,3372986491.00,3925887500.00,4899281062.00,4090020645.00,4242476300.00,4774089847.00,4598591928.00,3149034377.00,4889588651.00,4509086461.00,4767749169.00,4887675372.00,52106467803.00,4488005070.00,4867816354.00,5894448598.00,4971363452.00,5507647460.00,5863255315.00,5247104213.00,4211772421.00,6239692419.00,5342968362.00,6042124166.00,5679688150.00,64355885980.00,5432385185.00,5570026012.00,6433742047.00,5075957310.00,5934306698.00,6188711591.00,5540998854.00,4088468063.00,5574850024.00,5584319511.00,5905462521.00,5231281241.00,66560509057.00,5671588071.00,5733768386.00,6073416820.00,5604419651.00,5830088633.00,6141613198.00,5669973799.00,4141363133.00,5971161546.00,5864305775.00,5648331797.00,5541463076.00,67891493885.00
Finland,207347379.00,217994437.00,238790939.00,253689603.00,211747719.00,237123940.00,219497320.00,178730283.00,227260181.00,265814801.00,199969755.00,211258884.00,2669225241.00,200352088.00,222088458.00,239641445.00,247835684.00,203944041.00,231147006.00,222057074.00,176073432.00,208020624.00,218578200.00,210684897.00,208762307.00,2589185256.00,193765448.00,225690823.00,251904368.00,240891744.00,233505950.00,231537083.00,205173645.00,210228592.00,214366587.00,223167649.00,229956772.00,283712022.00,2743900683.00,222317168.00,239373670.00,313877818.00,224924773.00,267639484.00,258076110.00,228631464.00,201232873.00,234235614.00,288631892.00,246817895.00,223481669.00,2949240430.00,240630775.00,239596337.00,277955988.00,245845223.00,288217609.00,267190124.00,255825358.00,237020945.00,253739526.00,290151937.00,275976648.00,247928490.00,3120078960.00,252259817.00,250787902.00,270576753.00,247770246.00,291582861.00,275776332.00,275019264.00,222205160.00,250453669.00,299933835.00,253206079.00,1163514993.00,4053086911.00,257679974.00,253884867.00,255742587.00,225749836.00,249390946.00,259154119.00,250697981.00,195244832.00,274284306.00,288760230.00,268737338.00,274678580.00,3054005596.00,231280790.00,299024403.00,327090219.00,321308103.00,360311294.00,358890629.00,311816406.00,271840040.00,370736808.00,338350455.00,359279125.00,1334793385.00,4884721657.00,335683502.00,352825306.00,500394875.00,440602388.00,429853777.00,431796190.00,398985737.00,340928628.00,406872169.00,450081983.00,446387048.00,393631762.00,4928043365.00,379474212.00,328926218.00,508082711.00,371488782.00,413836751.00,393520815.00,324825447.00,304477446.00,356544767.00,384434965.00,368598808.00,333020799.00,4467231721.00,320722524.00,342541183.00,302230113.00,377368155.00,374483781.00,351882897.00,357357868.00,283140783.00,362719897.00,383055687.00,324113989.00,#VALUE!,#VALUE!
France,5723672771.00,5807251596.00,6290257595.00,5887571370.00,5913888386.00,6193334498.00,6409972292.00,3856462255.00,6336963015.00,6380389030.00,5691129265.00,5575149411.00,70066041484.00,5561315123.00,5871556686.00,6663706605.00,6136276173.00,5882089338.00,6502175899.00,6592255481.00,4064689493.00,6364763304.00,6399126933.00,6198739104.00,5790146790.00,72026840929.00,5514146091.00,6186002214.00,6681860073.00,6198187265.00,6417280676.00,6485864600.00,6100057586.00,4513622785.00,6495612900.00,6260132154.00,6476765500.00,5860706642.00,73190238486.00,5903068928.00,6425403873.00,7814759594.00,6101599146.00,7329023830.00,7139955997.00,6885725375.00,4821116273.00,6814882890.00,7093398608.00,7144503828.00,6046091282.00,79519529624.00,6512017610.00,6878378720.00,7562270994.00,6795637560.00,7405356629.00,7478454491.00,7220555757.00,5114095195.00,6746209125.00,7484455723.00,7337277475.00,6153232467.00,82687941746.00,6983772541.00,7008368403.00,7762334198.00,7072966148.00,7703956772.00,7492334446.00,7911716976.00,5013259024.00,7000258415.00,7880900835.00,7223601576.00,6369232677.00,85422702011.00,6796041613.00,7219755401.00,6010683395.00,4118154625.00,4974544698.00,6396026721.00,6833612209.00,4620622414.00,7191079913.00,7478880750.00,7110142117.00,6553871428.00,75303415284.00,6410778161.00,6834126480.00,8103040986.00,7363877211.00,7264325472.00,8256624696.00,7832828181.00,5400193738.00,7948043499.00,7983863527.00,8423677867.00,8013800607.00,89835180425.00,7943847364.00,8371435580.00,9951923559.00,9154454633.00,10027365667.00,9712760839.00,9479821187.00,7714053355.00,10391063873.00,9630903403.00,9841731259.00,9818224443.00,112037585162.00,9805019899.00,9898647404.00,10667695355.00,8825425220.00,9929882820.00,10453982168.00,8801036370.00,6584275886.00,8792766950.00,9452612612.00,9176660179.00,8137603210.00,110525608073.00,8331802679.00,9041010267.00,9585949094.00,8784831021.00,9163611732.00,8972215664.00,8849869816.00,6108566733.00,8411566854.00,9170982262.00,8759213682.00,#VALUE!,#VALUE!
Greece,438740389.00,486903615.00,549932652.00,494523454.00,511658512.00,569634431.00,605438345.00,339163801.00,576232759.00,585898151.00,582717877.00,573793240.00,6314637226.00,508584665.00,541398475.00,638609407.00,576014548.00,559967646.00,607296764.00,534779868.00,381712458.00,575093213.00,580498854.00,519706605.00,555967017.00,6579629520.00,506371118.00,541836746.00,588756634.00,586333545.00,594297704.00,617352206.00,568799028.00,421583893.00,623641544.00,605439152.00,531148865.00,535425083.00,6720985518.00,479611584.00,538653055.00,704661940.00,664587184.00,618722173.00,595676152.00,673971797.00,455596713.00,559573544.00,653857959.00,556399272.00,669358508.00,7170669881.00,654102498.00,578541523.00,688889884.00,662249302.00,641942817.00,869160993.00,718029449.00,451035915.00,608295801.00,761994535.00,686223457.00,685050882.00,8005517056.00,639271353.00,643634486.00,660697290.00,767511284.00,788105355.00,749939877.00,783861734.00,513884778.00,795797008.00,773089548.00,687627493.00,714039405.00,8517459611.00,729968188.00,722637030.00,627554792.00,433813937.00,520123661.00,624444675.00,773360532.00,494051101.00,676618385.00,699397823.00,640564931.00,785604067.00,7728139122.00,551446800.00,624616511.00,810479742.00,670770620.00,837088991.00,838792826.00,911096167.00,622910452.00,978757153.00,884244295.00,1000858616.00,848762428.00,9579824601.00,887407102.00,963604897.00,1180550213.00,975980160.00,1097925968.00,1130154543.00,1282595435.00,1016765321.00,1222999231.00,1066336402.00,1200210945.00,1233819455.00,13258349672.00,1052536470.00,1159103111.00,1285824499.00,1012593229.00,1125243892.00,1120093505.00,1086725050.00,798802737.00,1051036175.00,1150070811.00,988744772.00,905144063.00,12735918314.00,1030067068.00,1036051848.00,1092384508.00,1138485643.00,1066295872.00,1064974226.00,1105906042.00,794008390.00,1071305373.00,1090173446.00,1112517575.00,1102481758.00,12704651749.00
Croatia,255462470.00,309803582.00,338662074.00,335803322.00,345486771.00,320240227.00,383039854.00,224945917.00,361445053.00,353204132.00,339659511.00,316016722.00,3883769634.00,273918108.00,299168249.00,370263831.00,346136699.00,343892171.00,373715499.00,376795258.00,230976870.00,345499677.00,353472406.00,324539888.00,337132973.00,3975511628.00,286597934.00,331720088.00,365574725.00,356094757.00,375704217.00,363901261.00,382103338.00,258167642.00,386475324.00,345749541.00,375620193.00,344875792.00,4172584814.00,312197786.00,374224806.00,450560929.00,371112982.00,429325271.00,403282963.00,431176911.00,310400200.00,429992554.00,433672037.00,436446716.00,342853404.00,4725246560.00,388668593.00,393254480.00,515164273.00,427759210.00,451670938.00,475883747.00,491453671.00,323854927.00,432721592.00,490596787.00,463517143.00,403916955.00,5258462314.00,427709868.00,465925916.00,522247548.00,541141032.00,562432533.00,431733723.00,525419852.00,315598922.00,495725181.00,488067300.00,420238495.00,394917092.00,5591157461.00,439107797.00,444480652.00,322946796.00,265010152.00,355980422.00,423014907.00,485126856.00,301975596.00,417417813.00,452265001.00,415978708.00,358361914.00,4681666611.00,364002390.00,417165191.00,527551983.00,452535085.00,470732120.00,500268072.00,536287678.00,398575447.00,531196029.00,596094523.00,605592854.00,585270946.00,5985272320.00,516701912.00,567543026.00,856430043.00,772590522.00,783698808.00,722690137.00,709903142.00,588729319.00,755713267.00,839548833.00,840307410.00,791327078.00,8745183495.00,603272937.00,737240895.00,802124518.00,702985239.00,754694050.00,709651278.00,768370223.00,531144561.00,725166044.00,761372818.00,747739853.00,678076352.00,8521838768.00,660436575.00,730592280.00,846754939.00,738449785.00,777971066.00,685495653.00,771211635.00,520375218.00,658540631.00,738646780.00,620443151.00,#VALUE!,#VALUE!
Hungary,548661410.00,606871791.00,667028124.00,647453187.00,655222006.00,670560155.00,674015828.00,445891107.00,656477373.00,646006648.00,644548623.00,536541233.00,7399277484.00,580281449.00,617863196.00,725200730.00,676069309.00,680547141.00,733871454.00,758801921.00,495363803.00,750001499.00,725094162.00,686034149.00,553596410.00,7982725222.00,599766027.00,704675863.00,736176356.00,729856391.00,746272627.00,764410587.00,721708291.00,559073161.00,750560139.00,714035925.00,788741267.00,649481232.00,8464757868.00,720634853.00,771618022.00,904056458.00,774384010.00,916430523.00,883020612.00,812313791.00,658189029.00,829171814.00,834939241.00,867593082.00,688113151.00,9660464588.00,784639425.00,854801890.00,875721102.00,821378867.00,901154132.00,887115263.00,910354560.00,671617021.00,815408776.00,925428364.00,945349813.00,718082499.00,10111051712.00,798935673.00,871247156.00,933999749.00,865261241.00,962675020.00,858110900.00,889676906.00,636703763.00,896978095.00,915241195.00,871061096.00,689490802.00,10189381596.00,855971745.00,898191327.00,758203450.00,560317717.00,687375606.00,780636948.00,836742507.00,651912684.00,932062636.00,940927844.00,961278008.00,777103308.00,9640723779.00,862224403.00,995345863.00,1141018538.00,1025850069.00,1057137456.00,1079427488.00,1092781030.00,784615328.00,1035105276.00,1061821537.00,1146878550.00,965733842.00,12247939377.00,1014633345.00,1190039460.00,1313939118.00,1188808680.00,1366097452.00,1261872871.00,1235259604.00,1041659816.00,1272244476.00,1150059031.00,1282320429.00,1047653806.00,14364588088.00,1118952601.00,1237378855.00,1355924170.00,1130824476.00,1278585171.00,1288101227.00,1140462842.00,994629678.00,1216199089.00,1194465534.00,1228665587.00,1002012166.00,14186201395.00,1128507891.00,1208074656.00,1230095479.00,1110341631.00,1166172279.00,1162322665.00,1140814356.00,785258997.00,1104928792.00,1093717013.00,1049117047.00,#VALUE!,#VALUE!
