TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,121892664.00,104864178.00,113663585.00,103820981.00,102632915.00,102275158.00,105621993.00,104458817.00,122223744.00,129131468.00,116085708.00,94446254.00,1321117465.00,103966053.00,101740677.00,122017582.00,105571110.00,103093336.00,110280445.00,101905945.00,108366606.00,132944294.00,135836592.00,117976889.00,101273625.00,1344973154.00,125024607.00,118283643.00,111909346.00,114747525.00,104115514.00,116242959.00,99131201.00,107908361.00,114863090.00,107277944.00,123407996.00,110739783.00,1353651969.00,112754535.00,114222302.00,128054561.00,108818101.00,121521441.00,127528500.00,108953082.00,110670313.00,128689945.00,130359574.00,132363728.00,108377349.00,1432313431.00,124213173.00,121143001.00,129422215.00,116204856.00,125142216.00,131413342.00,112161835.00,130408402.00,125453603.00,139757553.00,134017194.00,108493102.00,1497830492.00,136444352.00,122187712.00,144089326.00,138782744.00,152415486.00,130996644.00,127450809.00,114770669.00,135665096.00,143026671.00,133204953.00,121009183.00,1600043645.00,136431029.00,135087960.00,140297672.00,111622361.00,123874548.00,121218054.00,119825244.00,119876420.00,142735671.00,135919573.00,137093884.00,117848081.00,1541830497.00,130334816.00,142815857.00,177368177.00,153289542.00,150986647.00,154878025.00,142098921.00,151099016.00,174835106.00,174142478.00,179688595.00,197431865.00,1928969045.00,227622101.00,202281172.00,260814291.00,222751383.00,225358154.00,259697868.00,222477410.00,190024710.00,206500477.00,252530467.00,214630529.00,232738229.00,2717426791.00,262322352.00,229990812.00,247053707.00,178580220.00,171751145.00,178461838.00,160302055.00,172765825.00,167145930.00,175478892.00,175682602.00,150669308.00,2270204686.00,167926325.00,177662737.00,179635774.00,165421379.00,154464640.00,158561440.00,163851467.00,152912575.00,171958410.00,180310693.00,158911228.00,#VALUE!,#VALUE!
Belgium,322216077.00,302224004.00,336336314.00,287437188.00,328893526.00,342611603.00,286340226.00,272582878.00,525973850.00,357564393.00,306783760.00,290572420.00,3959536239.00,315867104.00,308057847.00,358923744.00,303597072.00,287897439.00,353088196.00,280738959.00,328654098.00,341097768.00,338868985.00,325424049.00,301134780.00,3843350041.00,295162339.00,311523279.00,360794519.00,345042992.00,325684035.00,383121375.00,297353911.00,326745819.00,371324140.00,349221141.00,362821846.00,368210843.00,4097006239.00,363202370.00,337013450.00,418816478.00,317081437.00,344544980.00,390420313.00,349593641.00,414369048.00,370654862.00,375556720.00,375118544.00,314916202.00,4371288045.00,381038870.00,352111121.00,392908380.00,353383832.00,357587418.00,362696624.00,320852091.00,382027768.00,383163024.00,388665086.00,378828227.00,349643653.00,4402906094.00,365012216.00,360833688.00,434558749.00,374682079.00,369002660.00,379039535.00,384599182.00,376398784.00,458446947.00,390976087.00,374937884.00,374157465.00,4642645276.00,408902123.00,363995730.00,405688192.00,302301339.00,320598499.00,375274305.00,337270167.00,337067433.00,413381334.00,433203500.00,403645341.00,778217593.00,4879545556.00,390347760.00,387813630.00,475017551.00,420623262.00,434115698.00,486917990.00,452547010.00,465164720.00,572820596.00,480679006.00,507386704.00,549684281.00,5623118208.00,547185524.00,471159918.00,627323857.00,493728949.00,603392387.00,557997622.00,556358798.00,551939946.00,601893037.00,652935727.00,591728336.00,500781572.00,6756425673.00,540329545.00,487591935.00,558858410.00,464707052.00,543473136.00,581302919.00,427223766.00,530982725.00,509038723.00,546242022.00,549878757.00,492083177.00,6231712167.00,559649675.00,498338454.00,539500545.00,538118214.00,596184717.00,562967074.00,515345632.00,464451220.00,572278469.00,480016574.00,589864233.00,#VALUE!,#VALUE!
Bulgaria,13620154.00,16646638.00,16084814.00,16896584.00,16344395.00,18423016.00,17171684.00,15486103.00,25791688.00,19883622.00,19600927.00,14947154.00,210896779.00,17246445.00,18398738.00,19569795.00,16852862.00,19573119.00,19844675.00,22622255.00,23245323.00,21605018.00,24047747.00,23359545.00,23672918.00,250038439.00,20963058.00,22966063.00,20480143.00,21112078.00,19968351.00,24057687.00,24959872.00,20914539.00,22695022.00,21743306.00,23082240.00,21474631.00,264416989.00,23559333.00,21966310.00,31478070.00,21323598.00,24672158.00,24816914.00,27515232.00,24548374.00,22109498.00,25684674.00,26720124.00,25395718.00,299790004.00,21211101.00,27643505.00,29287644.00,26017423.00,29404854.00,30344169.00,33535433.00,27188724.00,23076497.00,28336019.00,46457690.00,25879367.00,348382425.00,31716787.00,28493551.00,26346044.00,27335781.00,25068819.00,24167894.00,28737314.00,24766835.00,23540234.00,30285696.00,26399100.00,24304368.00,321162421.00,27609181.00,28008728.00,26995044.00,26894154.00,23445329.00,47386254.00,26530694.00,22605893.00,28109037.00,28698450.00,30379764.00,26171530.00,342834058.00,28688000.00,32894300.00,35954908.00,40041972.00,33358311.00,37197536.00,39580466.00,46567057.00,50929655.00,57969941.00,52665276.00,52274865.00,508122287.00,34297836.00,32975832.00,40303174.00,34992609.00,38005829.00,36139875.00,36745609.00,40781630.00,44994877.00,41780972.00,37401930.00,42783020.00,461203193.00,35334193.00,33998676.00,47747265.00,99179246.00,37098018.00,41928559.00,42688865.00,38864969.00,31591593.00,39676537.00,38256029.00,32307972.00,518671922.00,41819595.00,32190560.00,38406260.00,37409339.00,34173000.00,33259748.00,35937990.00,33440144.00,34003182.00,50496055.00,45146681.00,#VALUE!,#VALUE!
Cyprus,1771343.00,1719884.00,2490887.00,1977913.00,3027165.00,3822935.00,3654686.00,2618555.00,2054524.00,2225833.00,1719673.00,2364519.00,29447917.00,1906852.00,2641287.00,2798426.00,4165670.00,2682998.00,2698148.00,14024661.00,2412454.00,71615309.00,2315808.00,2593837.00,2045683.00,111901133.00,1661242.00,7880383.00,2426088.00,4165599.00,3348068.00,38838325.00,3457809.00,3733377.00,2465742.00,3114982.00,3188989.00,2575632.00,76856236.00,2277864.00,3118474.00,4484402.00,2956729.00,3374931.00,4246517.00,4149238.00,2862046.00,3543428.00,2717271.00,32509354.00,3257495.00,69497749.00,5906148.00,3382529.00,3405002.00,7306483.00,4381440.00,3887644.00,4125301.00,3315291.00,17155526.00,2832031.00,20477602.00,3151279.00,79326276.00,3218351.00,3279140.00,3381113.00,3923859.00,4385748.00,13577807.00,4111754.00,3760809.00,38890990.00,3569895.00,4658290.00,41341601.00,128099357.00,40206036.00,5678908.00,3944948.00,3953995.00,3942967.00,7619931.00,5338536.00,17165284.00,2992514.00,3153796.00,4255233.00,4007501.00,102259649.00,5876370.00,5718222.00,5244996.00,4493021.00,4654994.00,4452729.00,4643274.00,3469860.00,4368060.00,3803290.00,3538190.00,5515764.00,55778770.00,5356115.00,3502750.00,5426385.00,3912013.00,5011153.00,6102565.00,4640389.00,4447130.00,4475995.00,5499911.00,6290176.00,5091375.00,59755957.00,4111687.00,6305782.00,6173166.00,5255660.00,6734953.00,8215346.00,4686339.00,5343851.00,6214877.00,4147785.00,8583804.00,25705610.00,91478860.00,16500561.00,5041249.00,5606667.00,4983442.00,5734914.00,3515515.00,7287400.00,6659159.00,5599182.00,11039804.00,7368907.00,#VALUE!,#VALUE!
Czechia,199484274.00,185942103.00,226054780.00,204353325.00,183199757.00,178177781.00,194291673.00,161506514.00,208590506.00,208621875.00,189901976.00,168967758.00,2309092321.00,180639676.00,172701763.00,197563440.00,178990187.00,169414276.00,195551152.00,172734806.00,163536557.00,187335855.00,200035609.00,198549815.00,188240507.00,2205293644.00,174708872.00,193545738.00,199554291.00,198764679.00,185823397.00,192640467.00,163308893.00,186966388.00,179454187.00,207199674.00,189079207.00,174757943.00,2245803736.00,188372065.00,200348007.00,226831406.00,179417734.00,202089591.00,228966895.00,164635389.00,195922387.00,194995707.00,217957163.00,218405799.00,169172573.00,2387114718.00,219085894.00,203924263.00,227705525.00,213158020.00,207571420.00,208595694.00,176923645.00,203029401.00,202944530.00,249862319.00,264401169.00,200976300.00,2578178179.00,235463880.00,211459366.00,242297815.00,218984918.00,240418508.00,229237798.00,237860049.00,238014307.00,256802571.00,268656227.00,270259113.00,218570728.00,2868025280.00,224200231.00,240794219.00,240025580.00,195465785.00,220304545.00,269203460.00,256425176.00,233549524.00,242767130.00,283966890.00,274281119.00,253929191.00,2934912852.00,267372406.00,247878239.00,282431156.00,257272674.00,262930519.00,265962919.00,238094671.00,247100914.00,277564823.00,268696283.00,295838126.00,266177397.00,3177320127.00,286257802.00,263515517.00,312464399.00,314357365.00,300532831.00,308573667.00,264774192.00,317927389.00,334389311.00,327930517.00,339820425.00,280383668.00,3650927082.00,322097668.00,296315731.00,344853936.00,281876259.00,322448234.00,333752084.00,263249134.00,291157261.00,322896286.00,386487400.00,341118591.00,273650384.00,3779902969.00,313694007.00,305059346.00,365564216.00,318347867.00,326542917.00,360122315.00,283879917.00,343756495.00,355802307.00,394046615.00,339692356.00,263053422.00,3969561779.00
Germany,2495251251.00,2423269935.00,2430428390.00,2484274258.00,2396557596.00,2484601612.00,2444839197.00,2389853392.00,2682308133.00,2918723840.00,2611831669.00,2400531314.00,30162470587.00,2433563649.00,2471135025.00,2689757694.00,2438542548.00,2440779792.00,2720381722.00,2536129207.00,2524554574.00,2755227568.00,2826619961.00,2749660647.00,2488363044.00,31074715431.00,2451753226.00,2618219689.00,2735071598.00,2729651429.00,2544723201.00,2703524917.00,2442575303.00,2555214696.00,2750911883.00,2717949768.00,2903446547.00,2496232479.00,31649274736.00,2629710198.00,2525481522.00,2879548263.00,2702774197.00,2614863209.00,2773029031.00,2500129666.00,2688693082.00,2911095632.00,2838607207.00,2831128137.00,2663665918.00,32558726062.00,2663035525.00,2667554624.00,2655189598.00,3131800450.00,3666044159.00,2926026870.00,2612193274.00,2775426788.00,3395625021.00,2910959560.00,2961836551.00,2491694747.00,34857387167.00,2701461428.00,2621483818.00,2887179139.00,2694770100.00,2695470551.00,2734212307.00,2693930262.00,2649960763.00,2886077667.00,2977216198.00,3027332487.00,2549424980.00,33118519700.00,2639617880.00,2859925598.00,2871001662.00,2245536582.00,2308731491.00,2711172688.00,2481674172.00,2562129779.00,2913748406.00,2877096298.00,2837244250.00,2493891280.00,31801770086.00,2642421840.00,2709914474.00,3107849161.00,2716169859.00,2832630954.00,3050418574.00,2891135630.00,2801368074.00,3249737059.00,3253089486.00,3402882095.00,3202928261.00,35860545467.00,3141166071.00,3190237504.00,4148909781.00,3256471598.00,3640986836.00,3698216432.00,3480339748.00,3757505542.00,3879124182.00,3426755632.00,3798639155.00,3391168959.00,42809521440.00,3374774000.00,3385088279.00,3792504781.00,3012384766.00,3328464014.00,3650688418.00,3194689199.00,3339712163.00,3442841469.00,3322775519.00,3502601414.00,2956907418.00,40303431440.00,3469547713.00,3297224983.00,3407446315.00,3579774552.00,3335752545.00,3345786800.00,3148936842.00,3266929658.00,3407690638.00,3623305542.00,3359644284.00,#VALUE!,#VALUE!
Denmark,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,39719137.00,53696612.00,49373399.00,44691423.00,43920536.00,45442272.00,34270316.00,40165264.00,46801902.00,46288384.00,46397218.00,41644738.00,532411201.00,46319668.00,44674510.00,51735193.00,46612931.00,44582530.00,41689047.00,44636215.00,41086073.00,51664104.00,48606742.00,46046021.00,45223301.00,552876335.00,50432067.00,51071319.00,57161575.00,56413103.00,49403839.00,51526671.00,36464175.00,51582072.00,51383043.00,50808537.00,70092370.00,55473213.00,631811984.00,50680325.00,62326582.00,66733449.00,51360319.00,58601637.00,49757811.00,39419450.00,49776538.00,49964968.00,64967387.00,56715249.00,58554815.00,658858530.00,56861752.00,63621219.00,59067205.00,64283209.00,54400024.00,69072555.00,63164776.00,63248500.00,52823673.00,86758608.00,65051089.00,64857240.00,763209850.00,74427501.00,61568578.00,92856139.00,76824692.00,72070487.00,90226181.00,80273943.00,71080771.00,82043434.00,71205783.00,73765116.00,68587607.00,914930232.00,73430421.00,69742061.00,72844841.00,54409815.00,45282696.00,58714765.00,53425157.00,53250419.00,64366665.00,65678377.00,65744187.00,88359657.00,765249061.00,68060138.00,61828819.00,98807037.00,65711332.00,93000208.00,76544638.00,65206826.00,63798045.00,67479043.00,66414076.00,79308174.00,82422907.00,888581243.00,88684593.00,81571163.00,107220505.00,75108784.00,91866751.00,81439191.00,76864502.00,77809055.00,96699598.00,96338800.00,105740826.00,105251430.00,1084595198.00,81627906.00,91606289.00,117452822.00,87623812.00,85336229.00,83599281.00,60175947.00,91085392.00,72451715.00,74468266.00,83182002.00,70098631.00,998708292.00,74104976.00,89859864.00,93974913.00,72392440.00,65193507.00,61268020.00,56055216.00,56346836.00,71930882.00,85148494.00,83281578.00,75515854.00,885072580.00
Spain,242049822.00,241527540.00,278066246.00,250045649.00,226303624.00,248388508.00,250106439.00,199098997.00,259736084.00,254334137.00,245488565.00,288882481.00,2984028092.00,270495891.00,249550913.00,310995718.00,256404711.00,280157995.00,331859031.00,307922661.00,220769550.00,342924183.00,311173184.00,301800381.00,317347679.00,3501401897.00,273933480.00,304648531.00,295595125.00,294452690.00,311384746.00,334894199.00,271236263.00,246570502.00,341966826.00,292138598.00,317190223.00,318670395.00,3602681578.00,275955671.00,292905891.00,354705283.00,263085352.00,330518761.00,347030211.00,283637380.00,250956934.00,323145302.00,350144262.00,360701464.00,340798605.00,3773585116.00,331572720.00,300881064.00,349194562.00,300085529.00,327544100.00,376985319.00,267072515.00,251235817.00,342967014.00,360039857.00,403067113.00,344040729.00,3954686339.00,336846903.00,340927300.00,367560536.00,315754056.00,330318899.00,346246566.00,358571006.00,257315524.00,338714495.00,359150726.00,341941714.00,356200412.00,4049548137.00,338104353.00,353144919.00,352486447.00,252294148.00,303379524.00,413079471.00,364875725.00,260501125.00,337918984.00,349430475.00,387537184.00,424547719.00,4137300074.00,342306410.00,327991341.00,461082794.00,389072026.00,416966262.00,394183015.00,328446636.00,335890247.00,425451713.00,376369496.00,429393240.00,452988136.00,4680141316.00,401343568.00,455202362.00,479279205.00,448559535.00,513202604.00,648236109.00,412991877.00,542896801.00,532946291.00,489958728.00,562357735.00,639450344.00,6126425159.00,480978643.00,482029977.00,521625191.00,458459281.00,518839210.00,528294877.00,463262520.00,378496015.00,470634340.00,461144079.00,543841512.00,536020929.00,5843626574.00,447061351.00,461731822.00,540628661.00,495132249.00,494788290.00,526441948.00,502394049.00,412267771.00,507671768.00,547637568.00,487252711.00,461729665.00,5884737853.00
Finland,318705334.00,241088693.00,251256084.00,267179653.00,365262224.00,263425655.00,283789072.00,243179307.00,290372518.00,344980119.00,281586360.00,285450072.00,3436275091.00,278921641.00,294455528.00,310065346.00,282739268.00,243570985.00,255768250.00,215321322.00,258708824.00,256294786.00,286251971.00,246259595.00,244050229.00,3172407745.00,254033283.00,262475431.00,247535697.00,242109879.00,253244233.00,274524349.00,214151968.00,226942583.00,249112408.00,230128746.00,247227875.00,269924583.00,2971411035.00,237443066.00,245152605.00,267268168.00,254695830.00,261774059.00,297584922.00,235693962.00,293522771.00,274474840.00,258252881.00,258495651.00,288213505.00,3172572260.00,267462222.00,255603792.00,264238707.00,292196146.00,250284053.00,262429826.00,218645597.00,322085128.00,246852371.00,326516614.00,286522726.00,228136969.00,3220974151.00,256649847.00,273120512.00,232602297.00,289978146.00,299451436.00,256403880.00,243863534.00,267732640.00,244405114.00,253415016.00,236638647.00,228301768.00,3082562837.00,257339979.00,233347856.00,282188120.00,230180725.00,220007920.00,274193493.00,218121020.00,254549047.00,248765157.00,261501484.00,278666982.00,282707768.00,3041569551.00,225523987.00,257334831.00,356597227.00,284812577.00,265000447.00,326339508.00,265960750.00,257410533.00,330788214.00,304660763.00,352221406.00,303557472.00,3530207715.00,312100883.00,300271462.00,454527844.00,326720454.00,331192115.00,344998461.00,299913999.00,336387837.00,364516120.00,343623616.00,371902339.00,307095956.00,4093251086.00,327153044.00,296627054.00,397118769.00,307477698.00,353600515.00,330286628.00,259015164.00,306897217.00,308813504.00,325688243.00,320008812.00,296714150.00,3829400798.00,352539688.00,304236273.00,298933990.00,379333566.00,358158408.00,308266749.00,297635391.00,312619170.00,387512326.00,337819941.00,328288743.00,#VALUE!,#VALUE!
France,486569207.00,453785427.00,558435021.00,466009825.00,418189935.00,472910557.00,471678633.00,392835498.00,477640008.00,520567766.00,428119373.00,444107787.00,5590849037.00,453866635.00,428815557.00,550949005.00,483006626.00,424495805.00,568766591.00,482058066.00,385475387.00,485354554.00,477408020.00,461151491.00,436559045.00,5637906782.00,457512529.00,477055737.00,534291698.00,505627322.00,490753909.00,515737509.00,439178902.00,427342616.00,515001162.00,485712149.00,511634052.00,488237143.00,5848084728.00,487543108.00,464802154.00,617331885.00,520216515.00,535187632.00,622809326.00,520103216.00,475677128.00,545925755.00,571987857.00,549360271.00,546283954.00,6457228801.00,592398322.00,527206450.00,637293371.00,537802896.00,602417054.00,567474286.00,556106139.00,491790009.00,519529282.00,609711378.00,591329798.00,543790194.00,6776849179.00,580850893.00,542195327.00,614363082.00,596088905.00,615231568.00,600371136.00,601065123.00,524507602.00,588645368.00,584429934.00,617148237.00,538957890.00,7003855065.00,609786006.00,559533929.00,616225041.00,412832442.00,456126278.00,564038642.00,534207462.00,473948310.00,572266611.00,603278991.00,597506135.00,668106712.00,6667856559.00,566887916.00,574782572.00,715900999.00,614545150.00,602060315.00,675965361.00,632976990.00,547252366.00,693509418.00,647324525.00,700660803.00,671367280.00,7643233695.00,713525460.00,669246347.00,894931272.00,681505373.00,729837143.00,769374126.00,682480163.00,649051781.00,763972228.00,746762658.00,746530609.00,710272510.00,8757489670.00,745924079.00,738797218.00,870432686.00,658647536.00,725709625.00,796856366.00,691467180.00,705855306.00,770090613.00,710770927.00,795869064.00,1014382895.00,9224803495.00,756581440.00,810637968.00,845125928.00,747380988.00,776707819.00,772971987.00,747214106.00,633645064.00,798376999.00,797948644.00,824002455.00,#VALUE!,#VALUE!
