TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,828206679.00,850593087.00,896494138.00,914197761.00,805117632.00,837147280.00,867538680.00,723909022.00,903025966.00,959250413.00,858889612.00,749397663.00,10193767933.00,824660508.00,846964237.00,941170634.00,862120368.00,819082128.00,893033244.00,914019687.00,772272783.00,978257558.00,1001557410.00,985524854.00,846798671.00,10685462082.00,822376631.00,892623662.00,946498796.00,925527009.00,890902345.00,968382501.00,804022082.00,895930295.00,997574763.00,981350900.00,1049263368.00,888664360.00,11063116712.00,946376038.00,960803856.00,1135301173.00,963666196.00,1032098406.00,1007751558.00,931420893.00,980704305.00,1042715184.00,1140025920.00,1131415979.00,891611065.00,12163890573.00,1047198660.00,1029226870.00,1172047579.00,1063122748.00,1035672360.00,1126966617.00,996474778.00,1023862812.00,1111225255.00,1283340251.00,1238888438.00,972376544.00,13100402912.00,1113305058.00,1035234711.00,1111718296.00,1077019706.00,1095741186.00,1015610113.00,1044369974.00,899543667.00,1057160278.00,1197119813.00,1116580188.00,941005759.00,12704408749.00,1028866731.00,1022010474.00,1023766753.00,766958070.00,810095154.00,928620164.00,997481826.00,861314440.00,1004026986.00,1135393646.00,1141478800.00,978285488.00,11698298532.00,972346200.00,1029550661.00,1300769788.00,1170274841.00,1143468966.00,1213765437.00,1144865119.00,1143088552.00,1346840825.00,1412216357.00,1526030524.00,1323159805.00,14726377075.00,1308962453.00,1330188240.00,1715736623.00,1433803555.00,1504707915.00,1498018371.00,1346076136.00,1540271886.00,1660475344.00,1632178873.00,1730411617.00,1392540884.00,18093371897.00,1445334241.00,1455745164.00,1668338112.00,1386405670.00,1483280292.00,1491275020.00,1247848034.00,1321408478.00,1431702789.00,1590931181.00,1533060820.00,1166866579.00,17222196380.00,1374439208.00,1449531992.00,1402031712.00,1395297826.00,1358881654.00,1376532805.00,1348407620.00,1267685131.00,1379472045.00,1567231652.00,1576276268.00,#VALUE!,#VALUE!
Belgium,517563698.00,520742247.00,579878540.00,531439378.00,482614755.00,527283841.00,500718500.00,395178520.00,541886147.00,585708444.00,517295145.00,463410163.00,6163719378.00,524388603.00,537482443.00,580779804.00,524199057.00,492337206.00,561297289.00,501182513.00,413375663.00,552590910.00,562306488.00,556307748.00,500951897.00,6307199621.00,588103388.00,585874397.00,649966168.00,598819159.00,558691213.00,616105314.00,466938192.00,540210085.00,587876182.00,580102362.00,574106248.00,530934680.00,6877727388.00,577778454.00,585881570.00,697408628.00,597766352.00,630444185.00,654293433.00,475665012.00,594683308.00,624165613.00,676002366.00,623975718.00,518734169.00,7256798808.00,617496373.00,593236057.00,657958915.00,579731376.00,625861757.00,679925692.00,526166847.00,559525242.00,570579474.00,710247331.00,656565156.00,511864875.00,7289159095.00,661590191.00,598787138.00,655717619.00,654254087.00,664697929.00,651827032.00,629495324.00,575694395.00,667859590.00,705240701.00,639336562.00,550461133.00,7654961701.00,730341871.00,684273406.00,703213301.00,433815955.00,516346050.00,590192110.00,569852070.00,561944421.00,699914322.00,672203726.00,647971246.00,636588302.00,7446656780.00,658061882.00,715439246.00,811326184.00,726847335.00,729815204.00,857528347.00,631180551.00,606983859.00,675934365.00,705722635.00,725755613.00,712261619.00,8556856840.00,710354542.00,762249846.00,882854807.00,756596448.00,852651518.00,862120437.00,751350597.00,794784891.00,880498866.00,845769629.00,844865315.00,779463513.00,9723560409.00,842949750.00,798619684.00,957711138.00,806288891.00,866680481.00,968388197.00,754446303.00,817919094.00,806049313.00,836099401.00,845615254.00,646040643.00,9946808149.00,809748583.00,862927860.00,869904557.00,851248546.00,831135211.00,794453700.00,746752764.00,727794551.00,871512227.00,923400524.00,893594189.00,#VALUE!,#VALUE!
Bulgaria,58527891.00,66105407.00,67666516.00,71572419.00,74615387.00,81388345.00,77546236.00,83044407.00,86329199.00,87475570.00,73847896.00,78847139.00,906966412.00,68582599.00,77319021.00,78756164.00,72337907.00,67314373.00,87673938.00,89003285.00,72821130.00,89896022.00,91897509.00,84631167.00,73357079.00,953590195.00,69724209.00,73931750.00,72101129.00,70976357.00,78270967.00,81002367.00,76033574.00,77238142.00,86922497.00,89961214.00,92870534.00,89198631.00,958231372.00,87890308.00,88475969.00,109994513.00,79765360.00,98569609.00,112121703.00,91635616.00,102771004.00,108294194.00,116638163.00,122543450.00,110776909.00,1229476796.00,104798439.00,99954100.00,110952468.00,103274357.00,106253014.00,122838205.00,110762158.00,112188246.00,115846444.00,130974296.00,139561348.00,112903887.00,1370306961.00,121972355.00,119913042.00,127730195.00,129991483.00,131258270.00,127325046.00,129051951.00,122640878.00,133052895.00,147691225.00,147666884.00,122704164.00,1560998389.00,126373841.00,129748160.00,118374885.00,71459700.00,89210841.00,117962620.00,117947438.00,111716863.00,132931211.00,157021851.00,164681303.00,126079582.00,1463508294.00,129138289.00,136289142.00,171280059.00,149573737.00,137250187.00,138977099.00,123642941.00,125990793.00,152987666.00,156030319.00,159656859.00,147065937.00,1727883028.00,139596415.00,143223118.00,161636346.00,163017809.00,183410370.00,183547636.00,159806381.00,171795068.00,184378690.00,183067583.00,182766110.00,152523183.00,2008768707.00,182945749.00,185071886.00,212998670.00,177012354.00,185382049.00,182196291.00,159078905.00,167565041.00,168832063.00,200776921.00,198674656.00,215547374.00,2236081956.00,177482629.00,186538238.00,176125226.00,190926555.00,165080701.00,154439370.00,155962404.00,146374045.00,162715337.00,188217590.00,184400848.00,#VALUE!,#VALUE!
Cyprus,1571448.00,3245581.00,2630559.00,2406444.00,2614641.00,3580216.00,2927204.00,1056428.00,3135736.00,2308684.00,3689756.00,3348223.00,32514920.00,2250054.00,3676054.00,3375969.00,3425529.00,2226251.00,2709107.00,2993888.00,2269170.00,3910881.00,3655737.00,6061370.00,5125943.00,41679953.00,5071511.00,4986973.00,4058626.00,7101504.00,5873792.00,6247730.00,9436301.00,5672250.00,7364035.00,6124586.00,3397881.00,4939953.00,70275142.00,8984909.00,8264461.00,4062507.00,3622210.00,3267561.00,4499884.00,5039624.00,4104785.00,5571718.00,5459369.00,6766775.00,4991190.00,64634993.00,9273845.00,3884335.00,7964381.00,5514912.00,4798636.00,5714443.00,4124453.00,5235438.00,6660819.00,7938269.00,6401358.00,6679549.00,74190438.00,4572864.00,3726135.00,4896685.00,5841635.00,6835904.00,5821498.00,5986560.00,5051166.00,3811042.00,7558533.00,4559844.00,8798581.00,67460447.00,6661031.00,4787176.00,6786975.00,5526703.00,4942984.00,3989505.00,5574146.00,4973625.00,4065537.00,5791989.00,5567606.00,4485097.00,63152374.00,5248463.00,6920727.00,4823504.00,5435304.00,5219300.00,8201679.00,5414472.00,6645596.00,6284783.00,4493603.00,4085971.00,7695338.00,70468740.00,7977850.00,5194162.00,5563861.00,5852085.00,6511565.00,6826187.00,8493083.00,6799003.00,5171760.00,6646282.00,7769479.00,9588147.00,82393464.00,9585709.00,6301707.00,8302075.00,8572312.00,9851672.00,10873705.00,6675639.00,11685050.00,7534185.00,16659627.00,7743402.00,9680551.00,113465634.00,8572942.00,8547399.00,10941927.00,7655978.00,14534710.00,5609406.00,6462283.00,8553724.00,6680235.00,7235013.00,9171953.00,#VALUE!,#VALUE!
Czechia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Germany,6108638263.00,5880462802.00,6134579301.00,6163387400.00,5877176315.00,6071352260.00,6242827244.00,5316463291.00,6730095155.00,6711682759.00,6367202562.00,5560736828.00,73164604180.00,5962548723.00,6134310629.00,6711411819.00,6342104051.00,6316626342.00,6642785855.00,6726006306.00,5710636881.00,7344586858.00,7480149770.00,7205043801.00,6062305680.00,78638516715.00,6327589364.00,6766320257.00,7115569844.00,7066820571.00,6823684061.00,7276844750.00,6033226427.00,6767570876.00,7353047610.00,7386459713.00,7667063194.00,6442395203.00,83026591870.00,7220631021.00,7247808271.00,8037856463.00,7424777221.00,7770244514.00,7711363790.00,6757073704.00,7409373598.00,7830720882.00,8182215470.00,8498689262.00,7065313150.00,91156067346.00,7840498894.00,7521596016.00,8070278040.00,8061832559.00,7986098260.00,8348381062.00,7545688952.00,7664758063.00,8312910985.00,9165319860.00,9088443028.00,6833564745.00,96439370464.00,8009399647.00,7874018940.00,8310315269.00,8164038371.00,8008649149.00,8063693679.00,7691562212.00,7556793405.00,8723457412.00,8954492687.00,8709274159.00,7090247423.00,97155942353.00,7943997529.00,7911851015.00,7672552445.00,5236827415.00,5844733732.00,6929040045.00,7038779316.00,6741658666.00,8027735648.00,8679693930.00,9080812515.00,7598933427.00,88706615683.00,7721274189.00,8151690076.00,9418372791.00,8820888213.00,8507530875.00,8786833380.00,8052137396.00,7566590188.00,8652156571.00,9169448481.00,9794574228.00,8939777772.00,103581274160.00,9478150752.00,9470973988.00,11142370109.00,9767827586.00,10900812800.00,10894008830.00,9631973039.00,10398046829.00,11702157018.00,10759277789.00,11587119240.00,9383498661.00,125116216641.00,10659505992.00,10254181030.00,11789526538.00,9768045827.00,10713865562.00,11058284372.00,9306029734.00,9935500203.00,10463832330.00,10866972125.00,11274236066.00,8700641576.00,124790621355.00,11069501808.00,10446980238.00,10596730675.00,11117711937.00,10216955756.00,10287814596.00,9690301075.00,9764593999.00,10800858278.00,10896572742.00,11499836585.00,#VALUE!,#VALUE!
Denmark,186053498.00,182989057.00,203230846.00,188453644.00,177314494.00,167975799.00,176284824.00,158960474.00,175740146.00,191980070.00,174465934.00,154034903.00,2137483687.00,169142932.00,158771498.00,185204646.00,165175347.00,154265036.00,167159238.00,163044322.00,154982075.00,170808048.00,182099591.00,184709097.00,172033175.00,2027395005.00,165404547.00,182073696.00,178371194.00,187497591.00,167485799.00,183592544.00,146640703.00,179731040.00,184688925.00,175298835.00,188322071.00,165672983.00,2104779929.00,166557952.00,184105800.00,209814873.00,170305327.00,179613764.00,201922118.00,163269435.00,186508323.00,179832002.00,211225621.00,207058100.00,174638422.00,2234851735.00,194946685.00,176247185.00,193395339.00,202104654.00,192708503.00,199076243.00,159147586.00,197302030.00,195442671.00,229083916.00,226707434.00,163892345.00,2330054589.00,216327065.00,192398181.00,215825767.00,193255442.00,185496883.00,216894323.00,201802356.00,208983463.00,212058333.00,225484441.00,223949521.00,170512476.00,2462988251.00,216216134.00,220409021.00,215728732.00,162432098.00,188396051.00,203777960.00,205957492.00,185874392.00,218225374.00,226639440.00,231676074.00,209495399.00,2484828168.00,237624711.00,223847019.00,265908625.00,230869485.00,217866633.00,248317832.00,216166057.00,218907496.00,271487110.00,232440723.00,263770151.00,246839793.00,2874045634.00,238933926.00,223088708.00,277285303.00,259553491.00,265248688.00,289253366.00,215520588.00,268279068.00,299320673.00,265718007.00,301787975.00,250284213.00,3154274004.00,286391509.00,262023208.00,315715560.00,246869570.00,282721110.00,298787608.00,233419602.00,258619754.00,292526889.00,350213386.00,271410345.00,223150152.00,3321848694.00,271792833.00,293929448.00,270558687.00,277620916.00,301623879.00,299039008.00,273094774.00,306906385.00,336083255.00,352414721.00,309463426.00,#VALUE!,#VALUE!
Estonia,17433758.00,17536478.00,20028187.00,19705233.00,18147960.00,22094741.00,20305744.00,18283066.00,19247990.00,23991506.00,19998240.00,20012987.00,236785890.00,17313924.00,18907506.00,23637440.00,22202900.00,20279340.00,20719381.00,20540236.00,20633911.00,24165086.00,22316711.00,18929624.00,16850622.00,246496681.00,16338854.00,20675414.00,20075060.00,21110845.00,23163618.00,19727838.00,16265156.00,21132926.00,31257349.00,26185360.00,21023366.00,21512732.00,258468518.00,16921895.00,21084782.00,25133026.00,19410957.00,23879431.00,22863515.00,17863734.00,23958974.00,24970543.00,30741393.00,26868058.00,33941228.00,287637536.00,27396127.00,23389392.00,28577683.00,31211426.00,29058046.00,31748430.00,23176449.00,24771584.00,30177991.00,34274280.00,32454873.00,24441694.00,340677975.00,27906720.00,26849374.00,30320785.00,29571490.00,33121761.00,30365030.00,29936800.00,29196779.00,32711059.00,34352211.00,30350817.00,22918716.00,357601542.00,27192468.00,26918769.00,24878699.00,20043554.00,22347915.00,29138955.00,29676121.00,23710268.00,41462594.00,36308855.00,33072058.00,33711455.00,348461711.00,28687206.00,30270835.00,34323405.00,35298429.00,33589548.00,37621848.00,39090671.00,29392422.00,34805919.00,35958833.00,37128808.00,41933290.00,418101214.00,35178285.00,36855158.00,42628097.00,44690651.00,45993862.00,47604680.00,41880874.00,40233788.00,57560033.00,44418914.00,49146149.00,46248926.00,532439417.00,46747134.00,52834008.00,73340142.00,53763061.00,59217104.00,62482297.00,49309804.00,56622105.00,50697946.00,55087172.00,52064167.00,48952951.00,661117891.00,48106246.00,46477843.00,49241449.00,47733177.00,46231769.00,57250025.00,41742862.00,56533737.00,65331527.00,71675161.00,70190852.00,52430246.00,652944894.00
Spain,380399076.00,413643350.00,471984890.00,414586023.00,409035754.00,442876658.00,430974146.00,248099260.00,456637167.00,495224779.00,445793081.00,418041561.00,5027295745.00,444917341.00,477029143.00,537734637.00,464646247.00,468257063.00,576305645.00,517821476.00,303473071.00,581141683.00,581004632.00,553994077.00,519780363.00,6026105378.00,498455715.00,544634991.00,595072604.00,554994207.00,577947422.00,589638334.00,427190105.00,377692156.00,616679062.00,553667671.00,592511432.00,546648756.00,6475132455.00,547060669.00,586141407.00,721496494.00,520805808.00,624028469.00,654672963.00,494561272.00,422156363.00,640637356.00,647590245.00,643595513.00,555290906.00,7058037465.00,587610930.00,581678198.00,707139525.00,593091685.00,630311701.00,669405282.00,507625030.00,459147833.00,641013002.00,660656965.00,640737149.00,527562176.00,7205979476.00,579818823.00,586301352.00,669843370.00,634152559.00,642551354.00,646466171.00,581528113.00,456966619.00,625909669.00,691061177.00,622544869.00,500239192.00,7237383268.00,614944542.00,611482921.00,596701952.00,290850728.00,351472710.00,534271100.00,540192086.00,388226377.00,619755049.00,668646267.00,681380946.00,608535626.00,6506460304.00,613596777.00,650467365.00,770774918.00,667004669.00,660135438.00,673870162.00,622588211.00,426684588.00,654886531.00,605305210.00,696694607.00,582536539.00,7624545015.00,677490661.00,721887085.00,808199361.00,743304114.00,849965098.00,982386643.00,638069479.00,581963972.00,829780646.00,790381165.00,888594857.00,733051490.00,9245074571.00,831362375.00,839535119.00,865474388.00,750713933.00,868503346.00,969143541.00,752366315.00,616337414.00,796418684.00,869677397.00,875671497.00,646232908.00,9681436917.00,844283029.00,899613489.00,913075476.00,931739897.00,830965028.00,771986930.00,791532994.00,594682461.00,810961237.00,935348331.00,821923599.00,715637405.00,9861749876.00
Finland,74758364.00,77442527.00,82703132.00,82639955.00,79009513.00,80327182.00,85536030.00,69097162.00,88555096.00,98327906.00,76814644.00,83059748.00,978271259.00,76836793.00,85278527.00,106976515.00,86194373.00,84513953.00,82875549.00,83794415.00,79921293.00,99265024.00,108670197.00,94036543.00,95167236.00,1083530418.00,89118543.00,86913097.00,91816160.00,90006994.00,86328477.00,98380103.00,63335430.00,75344773.00,83257166.00,85817820.00,80052870.00,91447568.00,1021819001.00,85709834.00,88290398.00,97289474.00,87912212.00,99449460.00,109846087.00,76988439.00,94185553.00,108149566.00,108173057.00,107812248.00,116009284.00,1179815612.00,90590316.00,102197967.00,114509350.00,104126222.00,115508627.00,128787388.00,85371122.00,101503992.00,114685961.00,119329366.00,134417703.00,114861663.00,1325889677.00,102004114.00,103028961.00,115670008.00,103693232.00,115877213.00,98749772.00,101394302.00,95325643.00,113330846.00,125200858.00,115076367.00,89711935.00,1279063251.00,95305418.00,99401362.00,109675393.00,69605804.00,80514304.00,105235934.00,87483375.00,105517184.00,104672973.00,110723946.00,117115522.00,110776269.00,1196027484.00,98237567.00,104771481.00,127017724.00,121197388.00,115144883.00,122121770.00,96733099.00,94417840.00,117802557.00,117675864.00,119232196.00,116585577.00,1350937946.00,110049514.00,112429903.00,140791966.00,135127067.00,151221294.00,147327900.00,109183845.00,118138334.00,144155827.00,128112447.00,131288118.00,115291557.00,1543117772.00,125116943.00,117440317.00,158402661.00,142339845.00,140558215.00,140416874.00,97116921.00,122841814.00,144887098.00,171690529.00,147701509.00,102245727.00,1610758453.00,133614527.00,122247382.00,114499742.00,136417337.00,131875520.00,110901476.00,119205577.00,117492261.00,147196601.00,141913652.00,137770300.00,#VALUE!,#VALUE!
France,818005365.00,818198478.00,874733720.00,858462215.00,750511741.00,870486151.00,904409232.00,635363488.00,926064765.00,964462142.00,876106086.00,799956219.00,10096759602.00,834442916.00,848287361.00,988991502.00,916208679.00,821075585.00,976371469.00,950649082.00,616224552.00,1001126859.00,1196849649.00,976583273.00,855181460.00,10981992387.00,882215487.00,953036349.00,1035516391.00,976012526.00,946500961.00,1063505432.00,886141341.00,790449777.00,1038417761.00,1028082723.00,1017683725.00,881085123.00,11498647596.00,1003764406.00,988427040.00,1140399438.00,938762305.00,1005425507.00,1128230451.00,954591013.00,867764595.00,1084757843.00,1205747861.00,1162840369.00,946646993.00,12427357821.00,1064898416.00,1072259412.00,1174109735.00,1098283929.00,1090945573.00,1172542909.00,1050572531.00,888556057.00,1096589819.00,1303621916.00,1166433894.00,927652466.00,13106466657.00,1102314188.00,1102117963.00,1277211746.00,1152164459.00,1134203929.00,1236955754.00,1147228113.00,868853979.00,1108081560.00,1231239808.00,1135525163.00,936299590.00,13432196252.00,1075928802.00,1072281372.00,952630923.00,561546401.00,625270035.00,930006164.00,931315774.00,780833246.00,1076336442.00,1170460803.00,1147377478.00,1065089888.00,11389077328.00,1063614735.00,1019913308.00,1249978579.00,1159863678.00,1090730804.00,1225302196.00,1079123257.00,796385585.00,1073099506.00,1079238983.00,1164663129.00,1108634567.00,13110548327.00,1142280449.00,1143627092.00,1345759993.00,1174088997.00,1290445607.00,1371297611.00,1185623663.00,1055913013.00,1376646654.00,1325393477.00,1435347051.00,1186626879.00,15033050486.00,1385912708.00,1294894915.00,1532398673.00,1315831451.00,1391814696.00,1500245953.00,1198717711.00,1056448133.00,1328363032.00,1566560124.00,1403507917.00,1109172364.00,16083867677.00,1332486921.00,1453428862.00,1385994058.00,1411548357.00,1352734208.00,1383696328.00,1397433875.00,1094434706.00,1384900914.00,1608494808.00,1431976353.00,#VALUE!,#VALUE!
Greece,35430840.00,32942423.00,33009467.00,32579413.00,38133253.00,34397691.00,37022393.00,31470298.00,36223437.00,38272625.00,36775268.00,39767603.00,426024711.00,42143013.00,39700020.00,43187050.00,38412816.00,43696453.00,50282653.00,31702694.00,34537399.00,40540349.00,39397086.00,39488021.00,42684957.00,485772511.00,36735395.00,39911611.00,44990342.00,40594660.00,44259872.00,51248910.00,40284316.00,36754078.00,44427546.00,39116734.00,41849673.00,39021311.00,499194448.00,37269583.00,37424651.00,52496693.00,40603730.00,46065226.00,46089020.00,44630076.00,45573695.00,51846481.00,45299848.00,48805310.00,50187894.00,546292207.00,49635388.00,49864704.00,61236652.00,53433598.00,59562448.00,56053187.00,50508417.00,55031936.00,52022014.00,62801070.00,64137314.00,57502243.00,671788971.00,59912291.00,50416693.00,54191327.00,56922584.00,64579044.00,55397510.00,57369180.00,55847103.00,69335717.00,80386840.00,71434351.00,60122346.00,735914986.00,64735921.00,66323081.00,58022711.00,43205402.00,50633458.00,58864715.00,68118836.00,50549716.00,70655152.00,67030585.00,57409036.00,53752115.00,709300728.00,62060834.00,62570399.00,74685418.00,69886310.00,66916873.00,74834761.00,71200127.00,53206342.00,70676884.00,69572613.00,78627321.00,73617548.00,827855430.00,64100319.00,74275520.00,83743366.00,80994804.00,80240101.00,87655691.00,90573496.00,77620025.00,96501590.00,85965600.00,97036054.00,86261458.00,1004968024.00,84023655.00,80992164.00,96208574.00,76530519.00,94675102.00,109007714.00,103903284.00,79769892.00,94619604.00,91044787.00,96399310.00,81866358.00,1089040963.00,109360815.00,93229338.00,84710338.00,92721703.00,96997550.00,86926220.00,102013828.00,84029968.00,87187435.00,92171595.00,87810827.00,84469711.00,1101629328.00
Croatia,36642118.00,37233741.00,47798375.00,42634478.00,45647905.00,45786252.00,51342456.00,42799028.00,54134835.00,51040739.00,52637651.00,49314575.00,557012154.00,37655630.00,37678626.00,42231954.00,41841130.00,47001046.00,51990962.00,46409526.00,38471546.00,53338158.00,49431929.00,50904418.00,42425208.00,539380133.00,38241550.00,41931010.00,51979491.00,50356813.00,51136157.00,53343886.00,44969836.00,47556228.00,53846071.00,52595274.00,55974763.00,49427093.00,591358173.00,48279415.00,58385324.00,74843675.00,65985601.00,77093821.00,71826161.00,61760181.00,66451837.00,73109368.00,68704944.00,62737430.00,55944213.00,785121972.00,65677259.00,66372858.00,83639276.00,66774095.00,70019621.00,72920762.00,65811392.00,78068529.00,76687579.00,81502510.00,89728325.00,80927712.00,898129919.00,65861563.00,69801379.00,78037054.00,75419587.00,80437949.00,68821000.00,79052111.00,69890435.00,71702514.00,77924598.00,74328716.00,57613143.00,868890048.00,74387500.00,76673111.00,68770476.00,52543865.00,58081829.00,79263158.00,74055394.00,66562275.00,72198362.00,81147338.00,72149423.00,65428747.00,841261479.00,67492863.00,72002578.00,89528913.00,78477110.00,74170680.00,70966575.00,73195191.00,66818453.00,81756291.00,80960000.00,87324571.00,84549192.00,927242417.00,79492950.00,79018717.00,106393739.00,91179477.00,93488379.00,105620842.00,94024519.00,95511139.00,109305146.00,100676782.00,99358233.00,93751943.00,1147821867.00,97250757.00,100588999.00,122821722.00,98869814.00,114262269.00,112805775.00,113308339.00,96282433.00,99411340.00,113593289.00,124957884.00,99148118.00,1293300739.00,103081752.00,108863884.00,117207469.00,123334009.00,136859379.00,102695510.00,109718161.00,101168240.00,104573590.00,121264499.00,111367554.00,#VALUE!,#VALUE!
Hungary,534850124.00,523903665.00,562133308.00,575973866.00,582962264.00,578756211.00,607947337.00,481808179.00,618057849.00,627997702.00,621275517.00,506952979.00,6822618999.00,556210476.00,577321890.00,658224318.00,627126503.00,588210023.00,660046153.00,631869954.00,541145599.00,701418373.00,705667229.00,699499364.00,582246176.00,7528986056.00,593932765.00,640612962.00,653725586.00,675810828.00,660404844.00,707646146.00,557916257.00,674689640.00,728783392.00,698327641.00,776664133.00,648748549.00,8017262741.00,666683516.00,678657445.00,791448284.00,678125161.00,769586216.00,766245618.00,638182703.00,736265593.00,807321061.00,868414507.00,873101201.00,693215083.00,8967246389.00,771789236.00,889563986.00,836050063.00,786383420.00,841459712.00,826651135.00,717835838.00,759229250.00,827068688.00,894810571.00,910226171.00,681614834.00,9742682902.00,850296589.00,847508970.00,872478937.00,842445999.00,861881444.00,833487927.00,816220059.00,755880183.00,844629642.00,946779648.00,889476022.00,659714219.00,10020799641.00,851267901.00,845689285.00,816779475.00,449645437.00,584306837.00,760374721.00,809020410.00,710490121.00,879144565.00,961273701.00,938650840.00,743547342.00,9350190636.00,776580455.00,838177356.00,978599144.00,915774650.00,903963337.00,963276306.00,845999597.00,805096367.00,927326906.00,933056726.00,1009331840.00,891594723.00,10788777407.00,1039372886.00,1074545482.00,1172304293.00,1060675440.00,1177134922.00,1154966764.00,1025164012.00,1089389331.00,1227742249.00,1177742089.00,1344858656.00,1062568991.00,13606465115.00,1284457702.00,1219398267.00,1293930840.00,1156301396.00,1271799877.00,1387058550.00,1073056491.00,1118701047.00,1164441187.00,1250103705.00,1315975196.00,929963274.00,14465187532.00,1159947399.00,1179609675.00,1121770133.00,1160081013.00,1160388453.00,1059851982.00,1089869092.00,1024063195.00,1128123468.00,1217050539.00,1235349674.00,#VALUE!,#VALUE!
Ireland,73678569.00,59702088.00,65642381.00,65478070.00,61619149.00,68072458.00,73469484.00,57929997.00,64093361.00,58021188.00,74357886.00,79971779.00,802036410.00,73076333.00,69554738.00,70554958.00,64319527.00,68604715.00,74794205.00,68080684.00,63485646.00,72409437.00,65401409.00,82687095.00,75226811.00,848195558.00,88644646.00,91079364.00,87645906.00,67231735.00,67853318.00,104415131.00,53442238.00,55058710.00,54817078.00,63403744.00,63730896.00,108469455.00,905792221.00,81936053.00,121401041.00,67193067.00,59439995.00,64168304.00,113449691.00,57254228.00,55242817.00,57115953.00,75625136.00,77719166.00,124022660.00,954568111.00,97500416.00,97485420.00,79243376.00,107621153.00,93896075.00,93194020.00,65454467.00,96413684.00,157276161.00,169430682.00,138620137.00,97427779.00,1293563370.00,111487428.00,102594915.00,121920964.00,100037561.00,136622494.00,88543461.00,98706422.00,91447817.00,67169668.00,110316401.00,117008662.00,123860827.00,1269716620.00,109314351.00,114048102.00,97370724.00,74224776.00,72600729.00,101974686.00,91088951.00,96609479.00,117816697.00,115087386.00,123580756.00,133990692.00,1247707329.00,154882277.00,108307902.00,179192161.00,174721277.00,171406997.00,126866796.00,93277217.00,107705393.00,134949091.00,130230951.00,166705339.00,196817787.00,1745063188.00,156221274.00,190585932.00,268085308.00,186125138.00,273341278.00,238539729.00,224409872.00,316117169.00,275010345.00,295415551.00,319220516.00,260907262.00,3003979374.00,304641890.00,230208543.00,221933609.00,214860797.00,191516527.00,180892391.00,149267893.00,159007825.00,176698302.00,185930762.00,192929109.00,189271237.00,2397158885.00,199837969.00,154830081.00,195379123.00,148977699.00,164653970.00,173582300.00,156856924.00,192715671.00,172371437.00,191509477.00,163983715.00,160063482.00,2074761848.00
